Script              	Purpose

EndeavourOs_scripts 	## (you can write some initial letters of the command first).
OpenWebPages.sh     	# Purpose: Open favorite links from a text file
README.md           	
aac2mp3_clm.sh      	# Convert one or more aac/m4a files to mp3.  
add-local-user.sh   	# Creates a new user on the local system.
argumentos.sh       	# Types of argumetns
arithmetic.sh       	# Demonstrating arithmetic operations in Bash.
arithmetic_evaluation.sh	# Author: Carlos Lacaci Moya
arrays.sh           	# -a lee en un array
arrays_practice.sh  	# Author: Carlos Lacaci Moya
ask_user.sh         	# Ask the user for an action
avi2mp4.sh          	# Dependency: ffmpeg, mencoder, gstreamer...
backup.sh           	#Directory 4 saving the files
banner.sh           	# Banner template
bash_library.sh     	# ARRAY UTILITIES #
blankcd.sh          	
bm-dirs             	
books-search.sh     	# Info:
burn_mp3_2cd.sh     	
claude_audio2txt.py 	#
clean_file.sh       	# Remove coments and empty lines. Create a copy of the file
close_crypto_vault.sh	# Description: Create and encrypted ISO image
color_test.sh       	#    This is slightly altered from the original which is found here:
colors_bash.sh      	# horizontally expanded backgrounds
connected_devices.sh	# Find connected devices on local network
connectivity.sh     	
conver2unix.sh      	
convert_lowercase_files.sh	#Convert upper-case to lower-case files
convert_mkv_to_avi.sh	# Check if ffmpeg is installed
convert_to_avi.sh   	# Check if ffmpeg is installed
copycd.sh           	# if [ $USER != "root" ];then
count_words_in_file.sh	# Count the words in a file
create_files.sh     	
create_list.sh      	# Show ASCII files in the path
crypto_image_lnx.sh 	# Create a valult like LUKS encrypted image
change_bg_lnx_feh.sh	# Author: https://gumirov.xyz/
change_bg_nitrogen.sh	# Description: Change background image on i3wm 
change_dwm_colors.sh	# Change the backup colors in dwm.
change_permissions.sh	# Script to change permissions for files and directories in the specified directory.
change_terminal.sh  	# Author: Carlos Lacaci Moya
check_command.sh    	
check_dependencies.sh	# Checks if the programs passed as strings are installed
check_git_status.sh 	# Verify the status of a git directory
check_internet.sh   	# Checks that an internet connection exists.
check_size.sh       	
checksum_univ.py    	# Purpose: Return the md5/sha256 of a file or input string
chk_file.sh         	# Check if the file exists
dbvis.sh            	
detect_connections.sh	# The script is useful for cybersecurity practitioners, particularly those on a Blue Team, which is responsible for defending an organization's information systems. By running this script, they can:
devs_local_network.sh	# Date: 11/05/20
dialog_msgbox.sh    	
dialog_textbox.sh   	
dialog_yesno.sh     	
download_repos.sh   	# Download repositories from a file
downloader.sh       	
dwm_alarm.sh        	# Joe Standring <git@joestandring.com>
dwm_alsa.sh         	# Joe Standring <git@joestandring.com>
dwm_backlight.sh    	# Joe Standring <git@joestandring.com>
dwm_battery.sh      	# Joe Standring <git@joestandring.com>
dwm_ccurse.sh       	# Joe Standring <git@joestandring.com>
dwm_cmus.sh         	# A dwm_bar function that shows the current artist, track, position, duration, and status from cmus
dwm_currency.sh     	# Creator of the project: Joe Standring <git@joestandring.com>
dwm_date.sh         	# Joe Standring <git@joestandring.com>
dwm_keyboard.sh     	# Joe Standring <git@joestandring.com>
dwm_loadavg.sh      	# Alvar Penning <post@0x21.biz>
dwm_mail.sh         	# Joe Standring <git@joestandring.com>
dwm_mpc.sh          	# Joe Standring <git@joestandring.com>
dwm_network_speed.sh	# Johan Chane <johanchanex@gmail.com>
dwm_networkmanager.sh	# Joe Standring <git@joestandring.com>
dwm_pulse.sh        	# Joe Standring <git@joestandring.com>
dwm_resources.sh    	# Joe Standring <git@joestandring.com>
dwm_solar_panel.sh  	# Its purpose is to show you how much Watts are being produced
dwm_spotify.sh      	# Joe Standring <git@joestandring.com>
dwm_transmission.sh 	# Joe Standring <git@joestandring.com>
dwm_vpn.sh          	# Joe Standring <git@joestandring.com>
dwm_weather.sh      	# Joe Standring <git@joestandring.com>
dwm_wpa.sh          	#======================================================================#
efid.sh             	
emoji_insert        	# Copy emoji list from dmenu
factory.sh          	# Bash factory design pattern
file_descriptors.sh 	# File descriptor to monitorize a log file and send a message
find_users.sh       	# Check if user exists
flac2mp3.sh         	
folder_size.sh      	# Calculates the size of a folder against a specified limit
genpasswd.sh        	# Name: genpasswd.sh
genpasswd_sha.sh    	# Name:
get_specific_files.sh	# Get specific files from a directory
